CO.Y CO.Y:DO.A
CO.Y CO.Y:BO.D

CP.X CP.X:CQ.B
CP.X CP.X:CO.C
CP.Y CP.Y:DP.A
CP.Y CP.Y:BP.D

CQ.X CQ.X:CR.B
CQ.X CQ.X:CP.C
CQ.Y CQ.Y:DQ.A
CQ.Y CQ.Y:BQ.D

CR.X CR.X:CS.B
CR.X CR.X:CQ.C
CR.Y CR.Y:DR.A
CR.Y CR.Y:BR.D

CS.X CS.X:CT.B
CS.X CS.X:CR.C
CS.Y CS.Y:DS.A
CS.Y CS.Y:BS.D

CT.X CT.X:CU.B
CT.X CT.X:CS.C
CT.Y CT.Y:DT.A
CT.Y CT.Y:BT.D

CU.X CU.X:CV.B
CU.X CU.X:CT.C
CU.Y CU.Y:DU.A
CU.Y CU.Y:BU.D

CV.X CV.X:CU.C
CV.Y CV.Y:DV.A
CV.Y CV.Y:BV.D

DA.X DA.X:DB.B
DA.Y DA.Y:EA.A
DA.Y DA.Y:CA.D

DB.X DB.X:DC.B
DB.X DB.X:DA.C
DB.Y DB.Y:EB.A
DB.Y DB.Y:CB.D

DC.X DC.X:DD.B
DC.X DC.X:DB.C
DC.Y DC.Y:EC.A
DC.Y DC.Y:CC.D

DD.X DD.X:DE.B
DD.X DD.X:DC.C
DD.Y DD.Y:ED.A
DD.Y DD.Y:CD.D

DE.X DE.X:DF.B
DE.X DE.X:DD.C
DE.Y DE.Y:EE.A
DE.Y DE.Y:CE.D

DF.X DF.X:DG.B
DF.X DF.X:DE.C
DF.Y DF.Y:EF.A
DF.Y DF.Y:CF.D

DG.X DG.X:DH.B
DG.X DG.X:DF.C
DG.Y DG.Y:EG.A
DG.Y DG.Y:CG.D

DH.X DH.X:DI.B
DH.X DH.X:DG.C
DH.Y DH.Y:EH.A
DH.Y DH.Y:CH.D

DI.X DI.X:DJ.B
DI.X DI.X:DH.C
DI.Y DI.Y:EI.A
DI.Y DI.Y:CI.D

DJ.X DJ.X:DK.B
DJ.X DJ.X:DI.C
DJ.Y DJ.Y:EJ.A
DJ.Y DJ.Y:CJ.D

DK.X DK.X:DL.B
DK.X DK.X:DJ.C
DK.Y DK.Y:EK.A
DK.Y DK.Y:CK.D

DL.X DL.X:DM.B
DL.X DL.X:DK.C
DL.Y DL.Y:EL.A
DL.Y DL.Y:CL.D

DM.X DM.X:DN.B
DM.X DM.X:DL.C
DM.Y DM.Y:EM.A
DM.Y DM.Y:CM.D

DN.X DN.X:DO.B
DN.X DN.X:DM.C
DN.Y DN.Y:EN.A
DN.Y DN.Y:CN.D

DO.X DO.X:DP.B
DO.X DO.X:DN.C
DO.Y DO.Y:EO.A
DO.Y DO.Y:CO.D

DP.X DP.X:DQ.B
DP.X DP.X:DO.C
DP.Y DP.Y:EP.A
DP.Y DP.Y:CP.D

DQ.X DQ.X:DR.B
DQ.X DQ.X:DP.C
DQ.Y DQ.Y:EQ.A
DQ.Y DQ.Y:CQ.D

DR.X DR.X:DS.B
DR.X DR.X:DQ.C
DR.Y DR.Y:ER.A
DR.Y DR.Y:CR.D

DS.X DS.X:DT.B
DS.X DS.X:DR.C
DS.Y DS.Y:ES.A
DS.Y DS.Y:CS.D

DT.X DT.X:DU.B
DT.X DT.X:DS.C
DT.Y DT.Y:ET.A
DT.Y DT.Y:CT.D

DU.X DU.X:DV.B
DU.X DU.X:DT.C
DU.Y DU.Y:EU.A
DU.Y DU.Y:CU.D

DV.X DV.X:DU.C
DV.Y DV.Y:EV.A
DV.Y DV.Y:CV.D

EA.X EA.X:EB.B
EA.Y EA.Y:FA.A
EA.Y EA.Y:DA.D

EB.X EB.X:EC.B
EB.X EB.X:EA.C
EB.Y EB.Y:FB.A
EB.Y EB.Y:DB.D

EC.X EC.X:ED.B
EC.X EC.X:EB.C
EC.Y EC.Y:FC.A
EC.Y EC.Y:DC.D

ED.X ED.X:EE.B
ED.X ED.X:EC.C
ED.Y ED.Y:FD.A
ED.Y ED.Y:DD.D

EE.X EE.X:EF.B
EE.X EE.X:ED.C
EE.Y EE.Y:FE.A
EE.Y EE.Y:DE.D

EF.X EF.X:EG.B
EF.X EF.X:EE.C
EF.Y EF.Y:FF.A
EF.Y EF.Y:DF.D

EG.X EG.X:EH.B
EG.X EG.X:EF.C
EG.Y EG.Y:FG.A
EG.Y EG.Y:DG.D

EH.X EH.X:EI.B
EH.X EH.X:EG.C
EH.Y EH.Y:FH.A
EH.Y EH.Y:DH.D

EI.X EI.X:EJ.B
EI.X EI.X:EH.C
EI.Y EI.Y:FI.A
EI.Y EI.Y:DI.D

EJ.X EJ.X:EK.B
EJ.X EJ.X:EI.C
EJ.Y EJ.Y:FJ.A
EJ.Y EJ.Y:DJ.D

EK.X EK.X:EL.B
EK.X EK.X:EJ.C
EK.Y EK.Y:FK.A
EK.Y EK.Y:DK.D

EL.X EL.X:EM.B
EL.X EL.X:EK.C
EL.Y EL.Y:FL.A
EL.Y EL.Y:DL.D

EM.X EM.X:EN.B
EM.X EM.X:EL.C
EM.Y EM.Y:FM.A
EM.Y EM.Y:DM.D

EN.X EN.X:EO.B
EN.X EN.X:EM.C
EN.Y EN.Y:FN.A
EN.Y EN.Y:DN.D

EO.X EO.X:EP.B
EO.X EO.X:EN.C
EO.Y EO.Y:FO.A
EO.Y EO.Y:DO.D

EP.X EP.X:EQ.B
EP.X EP.X:EO.C
EP.Y EP.Y:FP.A
EP.Y EP.Y:DP.D

